tractNumber,tractId,bookPage,recordDate,recordYear,jurisdiction,engineeringCompany,aliasesAndLineage,multiDateAcceptance,inLaderaCanonicalSet,sourceId,limitations
16515,LH-TRACT-16515,MM 850/21-25,2003-10-27,2003,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16351,LH-TRACT-16351,MM 850/28-32,2003-10-31,2003,UNINCORPORATED,FUSCOE ENGRING,documented_parent_child_map:16271,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16352,LH-TRACT-16352,MM 850/33-37,2003-10-31,2003,UNINCORPORATED,ADAMS-STREETER CIVIL ENGRS INCORPORATED,contains_or_matches_extent:16271,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16355,LH-TRACT-16355,MM 852/1-6,2003-12-18,2003,UNINCORPORATED,ADAMS STREETER CIVIL ENGRS INC,documented_parent_child_map:16271,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16353,LH-TRACT-16353,MM 853/16-20,2003-12-19,2003,UNINCORPORATED,ADAMS STREETER CIVIL ENGRS INC,documented_parent_child_map:16271,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15988,LH-TRACT-15988,MM 854/6-16,2004-01-30,2004,UNINCORPORATED,HALL AND FOREMAN INC,documented_parent_child_map:16687,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16388,LH-TRACT-16388,MM 854/1-5,2004-01-30,2004,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16387,LH-TRACT-16387,MM 853/47-50,2004-02-04,2004,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16384,LH-TRACT-16384,MM 853/39-42,2004-02-13,2004,UNINCORPORATED,STREETER CIVIL ENGRING INC,contains_or_matches_extent:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16385,LH-TRACT-16385,MM 853/34-38,2004-02-13,2004,UNINCORPORATED,STREETER CIVIL ENGRING INC,documented_parent_child_map:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16386,LH-TRACT-16386,MM 852/45-49,2004-02-13,2004,UNINCORPORATED,STREETER CIVIL ENGRING INC,contains_or_matches_extent:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16390,LH-TRACT-16390,MM 856/30-34,2004-04-23,2004,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:15986; documented_parent_child_map:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16504,LH-TRACT-16504,MM 856/37-41,2004-04-30,2004,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,documented_parent_child_map:15986,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16505,LH-TRACT-16505,MM 856/42-46,2004-04-30,2004,UNINCORPORATED,DOUGLAS BENDER AND ASSOC,contains_or_matches_extent:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16586,LH-TRACT-16586,MM 858/29-44,2004-06-10,2004,UNINCORPORATED,HALL AND FOREMAN INC,none documented,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16392,LH-TRACT-16392,MM 859/22-27,2004-07-06,2004,UNINCORPORATED,HALL AND FOREMAN INC,documented_parent_child_map:15986,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16394,LH-TRACT-16394,MM 859/33-37,2004-07-06,2004,UNINCORPORATED,HALL AND FOREMAN INC,documented_parent_child_map:15986,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16400,LH-TRACT-16400,MM 859/28-32,2004-07-06,2004,UNINCORPORATED,HALL AND FOREMAN INC,contains_or_matches_extent:15986,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16393,LH-TRACT-16393,MM 859/17-21,2004-07-19,2004,UNINCORPORATED,HALL AND FOREMAN INC,contains_or_matches_extent:15986,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16472,LH-TRACT-16472,MM 862/1-10,2004-10-26,2004,UNINCORPORATED,HALL AND FORMAN INC,none documented,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16473,LH-TRACT-16473,MM 862/11-20,2004-10-26,2004,UNINCORPORATED,HALL AND FORMAN INC,none documented,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15990,LH-TRACT-15990,MM 862/34-41,2004-10-28,2004,UNINCORPORATED,HALL AND FORMAN INC,none documented,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16395,LH-TRACT-16395,MM 861/36-41,2004-10-28,2004,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:15986,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16471,LH-TRACT-16471,MM 861/42-49,2004-10-28,2004,UNINCORPORATED,HALL AND FORMAN INC,none documented,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16391,LH-TRACT-16391,MM 861/29-35,2004-10-29,2004,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,partial_overlap:15986; partial_overlap:15987,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16667,LH-TRACT-16667,MM 861/25-28,2004-10-29,2004,UNINCORPORATED,HUNSAKER AND ASSOC IRVINE INC,documented_parent_child_map:15986,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15989,LH-TRACT-15989,MM 863/8-14,2004-11-15,2004,UNINCORPORATED,HALL AND FORMAN INC,none documented,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
16687,LH-TRACT-16687,MM 865/34-39,2005-04-14,2005,UNINCORPORATED,HUNSAKER AND ASSOC INC,documented_parent_child_map:15988; partial_overlap:15985,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
15793,LH-TRACT-15793,MM 897/28-33,2008-12-24,2008,UNINCORPORATED,HUITT-ZOLLARS,none documented,,yes,LH-SRC-OC-TRACTS,"Map recording is a legal subdivision milestone; it does not establish grading, construction, sale, road opening, or occupancy"
17588,LH-TRACT-17588,,,,UNINCORPORATED,,CONFLICT: 2024 Board-certified road index labels Ambito Street / TR 17588 as Ladera Ranch; live OC FeatureServer labels the same feature Rancho Mission Viejo,,NO - excluded pending independent confirmation,LH-SRC-M6-LHDRS-ROAD-INDEX-2024; LH-SRC-M6-OC-ROAD-INDEX-TR17588-LIVE,Both source versions preserved. Do not include in Ladera counts unless the canonical tract/AOI crosswalk independently includes it.
