roadName,tractSource,tractNumberParsed,tractAcceptanceDate,serviceArea,limits,objectId,keyNum,gisMiles,status,isMultiDateTract,sourceId,doNotClaim
LEWISTON COURT,TR 15908,15908,2004-12-21,LADERA RANCH,44' NW/O FLINTRIDGE AVE. TO END,2734,140300,0.25999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MERRILL HILL,TR 15909,15909,2004-10-05,LADERA RANCH,STRATHMORE TO END,2865,157600,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
STRATHMORE,TR 15909,15909,2004-10-05,LADERA RANCH,47' SW/O FLINTRIDGE TO END,3325,225750,0.180000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WESTFORD,TR 15909,15909,2004-10-05,LADERA RANCH,STRATHMORE TO END,3483,238665,0.0199999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FLINTRIDGE AVENUE,TR 15910,15910,2003-02-04,LADERA RANCH,37' NW/O TISBURY WAY TO END,2423,95612,0.349999994,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TISBURY LANE,TR 15911,15911,2003-02-04,LADERA RANCH,42' SW/O FLINTRIDGE AVE. TO END,3381,235140,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BEACON POINT,TR 15912,15912,2003-02-04,LADERA RANCH,BUSHWOOD CIRCLE TO END,1973,26425,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BUSHWOOD CIRCLE,TR 15912,15912,2003-02-04,LADERA RANCH,42' S/O FLINTRIDGE AVE. TO END,2091,42600,0.170000002,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WEGEFORD CIRCLE,TR 15912,15912,2003-02-04,LADERA RANCH,BUSHWOOD CIRCLE TO END,3596,238584,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LIVINGSTON PLACE,TR 15915,15915,2003-06-17,LADERA RANCH,850' SW TO 320' NW/O WESCOTT LN,2756,142500,0.200000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WESCOTT LANE,TR 15915,15915,2003-06-17,LADERA RANCH,50' E/O CECIL PASTURE RD. TO LIVINGSTON PL.,3481,238669,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY,TR 15987,15987,2007-03-20,LADERA RANCH,733' E/O ETHEREAL ST. TO 138' S/O ONEILL DR.,3249,217696,0.349999994,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
AGAPANTHUS STREET,TR 16025,16025,2004-10-19,LADERA RANCH,MERRIWEATHER PL. TO TUBEROSE ST.,1858,2200,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BARBERRY STREET,TR 16025,16025,2004-10-19,LADERA RANCH,28' W/O HYDRANGEA ST. TO TUBEROSE ST.,1963,23850,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CLEOME STREET,TR 16025,16025,2004-10-19,LADERA RANCH,TUBEROSE ST. TO MERRIWEATHER PL.,2202,62650,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ONEILL DRIVE,TR 16025,16025,2004-10-19,LADERA RANCH,61' W/O SIENNA PKWY. TO 45' SW/O HYDRANGEA ST.,2969,175385,0.50999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY,TR 16025,16025,2004-10-19,LADERA RANCH,105' SW/O SELLAS ROAD SOUTH TO ONEILL DR.,3248,217695,0.209999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TUBEROSE STREET,TR 16025,16025,2004-10-19,LADERA RANCH,29' SE/O SELLAS RD. SOUTH TO 27'S/ODUSKY WING CT.,3405,237185,0.219999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CORPORATE DRIVE,TR 16063,16063,2004-12-21,LADERA RANCH,TERRACE RD. TO 60' E/O ANTONIO PKWY.,2221,65500,0.209999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CROWN VALLEY PARKWAY (S1/2),TR 16063,16063,2004-12-21,NORTH LADERA RANCH,106' E/O ANTONIO PKWY. TO 941'E,2263,68590,0.159999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TERRACE ROAD,TR 16063,16063,2004-12-21,LADERA RANCH,60' E/O ANTONIO PKWY. TO CORPORATE DR.,3357,233250,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TERRACE ROAD,TR 16063,16063,2004-12-21,LADERA RANCH,CORPORATE DR. TO WINDMILL AVE.,3358,233275,0.270000011,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
WINDMILL AVENUE,TR 16063,16063,2004-12-21,LADERA RANCH,60' E/O ANTONIO PKWY. TO TERRACE RD.,3507,239110,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LANESBORO ROAD,TR 16101,16101,2004-06-08,LADERA RANCH,STERLING GLEN TO END,2690,135300,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SHELTON COURT,TR 16101,16101,2004-06-08,LADERA RANCH,STERLING GLEN TO END,3239,217310,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
STERLING GLEN,TR 16101,16101,2004-06-08,LADERA RANCH,44' NE/O SNAPDRAGON TO END,3319,225100,0.200000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SUTHERLAND DRIVE,TR 16101,16101,2004-06-08,LADERA RANCH,STERLING GLEN N'LY AND S'LY TO ENDS,3341,230300,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BLUE SPRUCE DRIVE,TR 16102,16102,2004-06-22,LADERA RANCH,47' E/O SNAPDRAGON ST. TO END,2006,31800,0.170000002,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MAGNOLIA DRIVE,TR 16102,16102,2004-06-22,LADERA RANCH,BLUE SPRUCE DR. N AND S TO ENDS,2794,147725,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SCOTCH PINE DRIVE,TR 16102,16102,2004-06-22,LADERA RANCH,BLUE SPRUCE DR. TO END,3212,212200,0.0900000036,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BLACK CHERRY STREET,TR 16103,16103,2004-05-11,LADERA RANCH,TERRASTAR LN. TO END,1998,30100,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BROOKWOOD STREET,TR 16103,16103,2004-05-11,LADERA RANCH,TERRASTAR LN. TO END,2066,39000,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TERRASTAR LANE NORTH,TR 16103,16103,2004-05-11,LADERA RANCH,TETHER MOON LN. TO END,3360,233325,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TETHER MOON LANE  (N1/2),TR 16103,16103,2004-05-11,LADERA RANCH,35' W/O BELLFLOWER ST. TO END,3362,233340,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CAPRICORN DRIVE,TR 16104,16104,2003-11-18,LADERA RANCH,TERRASTAR LN. TO COMET TR.,2115,51600,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CASTOR COURT,TR 16104,16104,2003-11-18,LADERA RANCH,COMET TR. TO END,2130,54500,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
COMET TRAIL,TR 16104,16104,2003-11-18,LADERA RANCH,CAPRICORN DR. TO END,2214,64670,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FLORA COURT,TR 16104,16104,2003-11-18,LADERA RANCH,GOSSAMER PL. TO END,2425,95710,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
GOSSAMER PLACE,TR 16104,16104,2003-11-18,LADERA RANCH,CAPRICORN DR. TO END,2483,103320,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SOLSTICE DRIVE,TR 16104,16104,2003-11-18,LADERA RANCH,COMET TR. TO 45' SW/O SELLAS ROAD NORTH,3300,222069,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TERRASTAR LANE SOUTH,TR 16104,16104,2003-11-18,LADERA RANCH,TETHER MOON LN. TO END,3361,233330,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TETHER MOON LANE (S1/2),TR 16104,16104,2003-11-18,LADERA RANCH,35' W/O BELLFLOWER ST. TO END,3363,233345,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CANDLEWIND COURT,TR 16114,16114,2003-12-16,LADERA RANCH,CELESTINE CIRCLE TO END,2113,50445,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CELESTINE CIRCLE,TR 16114,16114,2003-12-16,LADERA RANCH,MERRIWEATHER PLACE TO END,2137,55400,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LUNA COURT,TR 16114,16114,2003-12-16,LADERA RANCH,CELESTINE CIRCLE TO END,2781,146150,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MERRIWEATHER PLACE (N1/2),TR 16114,16114,2003-12-16,LADERA RANCH,33' W/O AGAPANTHUS ST. TO 341' W,2866,157620,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BEECHTREE STREET,TR 16115,16115,2004-02-24,LADERA RANCH,CELESTINE CIRCLE TO END,1974,26700,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CELESTINE CIRCLE,TR 16115,16115,2004-02-24,LADERA RANCH,47' W/O TUBEROSE ST. TO MERRIWEATHER PL.,2138,55450,0.140000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
MERRIWEATHER PLACE (S1/2),TR 16115,16115,2004-02-24,LADERA RANCH,36' W/O AGAPANTHUS ST. TO END,2867,157630,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
OLIVE STREET,TR 16115,16115,2004-02-24,LADERA RANCH,CELESTINE CIRCLE TO END,2961,174550,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
PLUM STREET,TR 16115,16115,2004-02-24,LADERA RANCH,CELESTINE CIRCLE TO END,3044,190700,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BLUEWING LANE,TR 16116,16116,2004-05-11,LADERA RANCH,DUSKYWING CT. TO END,2010,31900,0.0700000003,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DUSKYWING COURT,TR 16116,16116,2004-05-11,LADERA RANCH,36' E/O TUBEROSE ST. TO END,2329,78995,0.129999995,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SACHEM WAY,TR 16116,16116,2004-10-09,LADERA RANCH,47' S/O BARBERRY ST. TO END,3151,205900,0.140000001,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
AGAPANTHUS STREET,TR 16117,16117,2003-11-18,LADERA RANCH,36' E/O TUBEROSE ST. TO POMEGRANATE ST.,1859,2400,0.0799999982,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
PINK TRUMPET STREET,TR 16117,16117,2003-11-18,LADERA RANCH,AGAPANTHUS ST. TO END,3041,190005,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
POMEGRANATE STREET,TR 16117,16117,2003-11-18,LADERA RANCH,AGAPANTHUS ST. TO END,3047,191050,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CARLISLE COURT,TR 16118,16118,2004-01-27,LADERA RANCH,LANGFORD LN. TO END,2116,51850,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LANGFORD LANE,TR 16118,16118,2004-01-27,LADERA RANCH,35' N/O RANUNCULUS ST. TO END,3688,135000,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SHIVELY ROAD,TR 16118,16118,2004-01-27,LADERA RANCH,50' N/O RANUNCULUS ST. TO END,3242,217500,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SHIVELY ROAD,TR 16119,16119,2004-02-03,LADERA RANCH,42' S/O RANUNCULUS ST. TO END,3241,217400,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
LANGFORD LANE,TR 16120,16120,2004-03-09,LADERA RANCH,40' S/O RANUNCULUS ST TO END,2691,135200,0.119999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
RANUNCULUS STREET,TR 16120,16120,2004-03-09,LADERA RANCH,36' SE/O LANGFORD LN. TO END,3089,195380,0.140000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SCARLET MAPLE DRIVE,TR 16121,16121,2003-11-23,LADERA RANCH,SMOKE TREE DR. N AND S TO ENDS,3211,212100,0.170000002,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SMOKE TREE DRIVE,TR 16121,16121,2004-11-23,LADERA RANCH,46' E/O HYDRANGEA ST. TO END,3291,221850,0.180000007,M,YES - multiple acceptance dates; preserved as separate rows,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CAMERONS WAY,TR 16122,16122,2004-03-09,LADERA RANCH,35' E/O SMOKE TREE DR. TO CRAFTSBURY PL.,2108,47700,0.0500000007,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CRAFTSBURY PLACE,TR 16122,16122,2004-03-09,LADERA RANCH,CAMERONS WAY  N'LY AND S'LY TO ENDS,2242,66900,0.170000002,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
AMARYLLIS STREET,TR 16155,16155,2004-10-19,LADERA RANCH,SKLAR ST. TO TRUMPET VINE ST.,1907,16130,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
AVENDALE BOULEVARD,TR 16155,16155,2004-10-19,LADERA RANCH,SELLAS ROAD NORTH TO 60' W/O ANTONIO PKWY.,1946,20500,0.230000004,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
BELLFLOWER STREET,TR 16155,16155,2004-10-19,LADERA RANCH,SNAPDRAGON ST. TO TETHERMOON LN.,1977,27050,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DELPHINIUM STREET,TR 16155,16155,2004-10-19,LADERA RANCH,TRUMPET VINE ST. TO SELLAS ROAD NORTH,2307,75500,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
GLOXINIA STREET,TR 16155,16155,2004-10-19,LADERA RANCH,SKLAR ST. TO TRUMPET VINE ST.,2480,103025,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
IRISH MOSS STREET,TR 16155,16155,2004-10-19,LADERA RANCH,SKLAR ST. TO AMY WAY,2598,117515,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SELLAS ROAD NORTH,TR 16155,16155,2004-10-19,LADERA RANCH,52' S/O AVENDALE BLVD. TO 71' W/O SIENNA PKWY.,3217,213700,0.340000004,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY,TR 16155,16155,2004-10-19,LADERA RANCH,96' S/O WINDMILL AVE. TO 86' S/O SELLAS ROAD NORTH,3245,217683,0.239999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SKLAR STREET,TR 16155,16155,2004-10-19,LADERA RANCH,54' S/O AVENDALE BLVD. TO SNAPDRAGON ST.,3272,220778,0.300000012,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SNAPDRAGON STREET,TR 16155,16155,2004-10-19,LADERA RANCH,34' S/O WINDMILL AVE. TO SELLAS ROAD NORTH,3294,221985,0.370000005,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SWEET PEA STREET,TR 16155,16155,2004-10-19,LADERA RANCH,SNAPDRAGON ST. TO TETHERMOON LN.,3342,230510,0.0700000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TRUMPET VINE STREET,TR 16155,16155,2004-10-19,LADERA RANCH,AMARYLLIS ST. TO GLOXINIA ST.,3404,237180,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
HYDRANGEA STREET,TR 16156,16156,2004-10-19,LADERA RANCH,30' W/O SELLAS RD.SOUTH TO 36' S/O O'NEILL DR.,2593,116800,0.340000004,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ONEILL DRIVE,TR 16156,16156,2004-10-19,LADERA RANCH,45' W/O HYDRANGEA ST. TO 60'E/O ANTONIO PKWY.,2970,175388,0.219999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
RANUNCULUS STREET,TR 16156,16156,2004-10-19,LADERA RANCH,SKLAR TO 36' SE/O LANGFORD LN.,3088,195325,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SELLAS ROAD SOUTH,TR 16156,16156,2004-10-19,LADERA RANCH,49' S/O HYDRANGEA ST.TO 52' S/O AVENDALE BLVD.,3219,213525,0.219999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SKLAR STREET,TR 16156,16156,2004-10-19,LADERA RANCH,HYDRANGEA ST.TO 54' S/O AVENDALE BLVD.,3271,220735,0.280000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ABELIA STREET,TR 16157,16157,2004-10-19,LADERA RANCH,STRAWFLOWER ST. TO 30' NW/O OF SELLAS ROAD SOUTH,1848,100,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
AVENDALE BOULEVARD,TR 16157,16157,2004-10-19,LADERA RANCH,DAISY STREET NORTH TO 30' W/O SELLAS ROAD SOUTH,1945,20400,0.200000003,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DAISY STREET NORTH,TR 16157,16157,2004-10-19,LADERA RANCH,SIENNA PKWY. TO AVENDALE BLVD.,2269,70700,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DAISY STREET SOUTH,TR 16157,16157,2004-10-19,LADERA RANCH,AVENDALE BLVD. TO SIENNA PKWY.,6872,70710,0.100000001,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
GILLY FLOWER STREET,TR 16157,16157,2004-10-19,LADERA RANCH,DAISY ST. SOUTH TO STRAWFLOWER ST.,2468,101975,0.159999996,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SELLAS ROAD SOUTH,TR 16157,16157,2004-10-19,LADERA RANCH,71' W/O SIENNA PKWY. TO 49' S/O HYDRANGEA ST.,3218,213520,0.189999998,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY,TR 16157,16157,2004-10-19,LADERA RANCH,87' S/O SELLAS ROAD NORTH TO 105' S/O SELLAS ROAD SOUTH,3246,217689,0.550000012,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
STRAWFLOWER STREET,TR 16157,16157,2004-10-19,LADERA RANCH,TRISTANIA ST. TO ABELIA ST.,3328,226100,0.0599999987,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
TRISTANIA STREET,TR 16157,16157,2004-10-19,LADERA RANCH,STRAWFLOWER ST. TO SELLAS RD. SOUTH,3401,237130,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ZINNIA STREET,TR 16157,16157,2004-10-19,LADERA RANCH,SIENNA PKWY. TO AVENDALE BLVD.,3549,240000,0.239999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CREIGHTON PLACE,TR 16203,16203,2006-07-18,LADERA RANCH,ONEILL DR. TO UNIVERSITY AVE.,2247,67500,0.109999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DORRANCE DRIVE,TR 16203,16203,2006-07-18,LADERA RANCH,ONEILL DR. TO 140' SE/O POTTERS BEND,4131,77800,0.219999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ETON PLACE,TR 16203,16203,2006-07-18,LADERA RANCH,84' SW/O O'NEILL DR. TO UNIVERSITY DR.,2390,89800,0.129999995,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ONEILL DRIVE,TR 16203,16203,2006-07-18,LADERA RANCH,46' S/O CECIL PASTURE RD. TO 277'  W/O SIENNA PKWY.,3588,175360,1.02999997,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
UNIVERSITY AVENUE,TR 16203,16203,2006-07-18,LADERA RANCH,46' S/O ETON PL. TO 46' N/O CREIGHTON PL.,3412,237380,0.330000013,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CHARDONNAY DRIVE,TR 16234,16234,2005-12-20,LADERA RANCH,28' S/O ROANOKE DR. TO 166' SOUTH,2162,58250,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
DORRANCE DRIVE,TR 16234,16234,2005-12-20,LADERA RANCH,77' W/O SIENNA PKWY. TO 779' W/O FALABELLA DR.,2320,77885,0.25999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
FALABELLA DRIVE,TR 16234,16234,2005-12-20,LADERA RANCH,DORRANCE DR. TO 107' W/O HANOVERIAN WAY,2404,92375,0.25,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
VINEYARD DRIVE,TR 16234,16234,2005-12-20,LADERA RANCH,28' SE/O ROANOKE DR. TO 197' SOUTH,3437,238195,0.0299999993,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
CLYDESDALE DRIVE,TR 16235,16235,2005-12-20,LADERA RANCH,52' SW/O DORRANCE DR. TO 69' N/O BRYANT CT.,2206,62850,0.219999999,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
ONEILL DRIVE,TR 16235,16235,2005-12-20,LADERA RANCH,277' W/ TO 61' W/O SIENNA PKWY.,2968,175380,0.0399999991,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
SIENNA PARKWAY,TR 16235,16235,2005-12-20,LADERA RANCH,64' S  TO 138' S/O O'NEILL DR.,3247,217692,0.00999999978,M,,LH-SRC-M6-OC-ROAD-INDEX-LADERA-LIVE,Road acceptance is NOT a certificate of occupancy.
