addressConstraint,association,confidence,limitations,neighborhood,sourceIds,sourceLocator,statementClass,streetLabel,streetNameNormalized,streetNeighborhoodId,village
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Covenant Hills,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,COWBOY ROAD,COWBOY RD,LH-STREET-XWALK-0119,Covenant Hills
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sumners Way 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,CRAFTSBURY PLACE,CRAFTSBURY PL,LH-STREET-XWALK-0120,Avendale
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chesapeake 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,CREIGHTON PLACE,CREIGHTON PL,LH-STREET-XWALK-0121,Wycliffe
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,CRESPI CIRCLE,CRESPI CIR,LH-STREET-XWALK-0122,Covenant Hills
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Clifton Heights 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,CRESTMONT COURT,CRESTMONT CT,LH-STREET-XWALK-0123,Flintridge
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tarleton 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,CROCKETT COURT,CROCKETT CT,LH-STREET-XWALK-0124,Terramor
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tamarind 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,CURTIS LANE,CURTIS LN,LH-STREET-XWALK-0125,Echo Ridge
22-28 even,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Front Street,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DAISY STREET (22-28 even),DAISY ST,LH-STREET-XWALK-0126,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Greenbriar,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DAISY STREET SOUTH,DAISY ST SOUTH,LH-STREET-XWALK-0127,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Aldenhouse,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DALEY STREET,DALEY ST,LH-STREET-XWALK-0128,Township
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Maplewood 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DANBURY,DANBURY,LH-STREET-XWALK-0129,Oak Knoll
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Montanez,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DAVID STREET,DAVID ST,LH-STREET-XWALK-0130,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tarleton 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DAVIS PLACE,DAVIS PL,LH-STREET-XWALK-0131,Terramor
1-48,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Maplewood 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DAWNWOOD (1-48),DAWNWOOD,LH-STREET-XWALK-0132,Oak Knoll
51-96,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Whispering Creek 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DAWNWOOD (51-96),DAWNWOOD,LH-STREET-XWALK-0133,Oak Knoll
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Trail Ridge 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DE LEON LANE,DE LEON LN,LH-STREET-XWALK-0134,Echo Ridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,St. Mays Road,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DELPHINIUM STREET,DELPHINIUM ST,LH-STREET-XWALK-0135,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sherborne 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DENNIS LANE,DENNIS LN,LH-STREET-XWALK-0136,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DEVENS WAY,DEVENS WAY,LH-STREET-XWALK-0137,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Berkshire,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DIETES COURT,DIETES CT,LH-STREET-XWALK-0138,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DIGBY STREET,DIGBY ST,LH-STREET-XWALK-0139,Wycliffe
2-26,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tattershall 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DOWNING STREET (2-26),DOWNING ST,LH-STREET-XWALK-0140,Flintridge
31-57,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Lexington 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DOWNING STREET (31-57),DOWNING ST,LH-STREET-XWALK-0141,Flintridge
60-76,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tamarind 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DOWNING STREET (60-76),DOWNING ST,LH-STREET-XWALK-0142,Flintridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Amarante 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DRACKERT LANE,DRACKERT LN,LH-STREET-XWALK-0143,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DUFFIELD LANE,DUFFIELD LN,LH-STREET-XWALK-0144,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Briar Rose 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DURLSTON,DURLSTON,LH-STREET-XWALK-0145,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Weatherhaven,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DUSKYWING COURT,DUSKYWING CT,LH-STREET-XWALK-0146,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,DUXBURY STREET,DUXBURY ST,LH-STREET-XWALK-0147,Wycliffe
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Maplewood 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,EARLYWOOD,EARLYWOOD,LH-STREET-XWALK-0148,Oak Knoll
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,EARTHEN COURT,EARTHEN CT,LH-STREET-XWALK-0149,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,ECO CIRCLE,ECO CIR,LH-STREET-XWALK-0150,Terramor
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Wyeth 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,EDENDALE STREET,EDENDALE ST,LH-STREET-XWALK-0151,Oak Knoll
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,EDGARTOWN STREET,EDGARTOWN ST,LH-STREET-XWALK-0152,Wycliffe
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sherborne 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,ELISSA LANE,ELISSA LN,LH-STREET-XWALK-0153,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chesapeake 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,ELLISTON DRIVE,ELLISTON DR,LH-STREET-XWALK-0154,Wycliffe
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Greenbriar,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,ELLSWORTH STREET,ELLSWORTH ST,LH-STREET-XWALK-0155,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Greenbriar,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,ELM HURST STREET,ELM HURST ST,LH-STREET-XWALK-0156,Avendale
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Montanez,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,EMMY LANE,EMMY LN,LH-STREET-XWALK-0157,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sedona 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,EPONA WAY,EPONA WAY,LH-STREET-XWALK-0158,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Montanez,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,ERIC STREET,ERIC ST,LH-STREET-XWALK-0159,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tarleton 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,ETHEREAL,ETHEREAL,LH-STREET-XWALK-0160,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chesapeake 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,ETON PLACE,ETON PL,LH-STREET-XWALK-0161,Wycliffe
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Briar Rose 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,EVANSTON PLACE,EVANSTON PL,LH-STREET-XWALK-0162,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,EVERGREEN ROAD,EVERGREEN RD,LH-STREET-XWALK-0163,Wycliffe
,SBA,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,FAIRHAVEN ROAD,FAIRHAVEN RD,LH-STREET-XWALK-0164,Terramor
2-30,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Lexington 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,FALABELLA DRIVE (2-30),FALABELLA DR,LH-STREET-XWALK-0165,Echo Ridge
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tamarind 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,FALKNER DRIVE,FALKNER DR,LH-STREET-XWALK-0166,Flintridge
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sedona 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,FALLOW LANE,FALLOW LN,LH-STREET-XWALK-0167,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 2,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,FARMHOUSE LANE,FARMHOUSE LN,LH-STREET-XWALK-0168,Wycliffe
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Bellataire 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,FAYETTE CIRCLE,FAYETTE CIR,LH-STREET-XWALK-0169,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tarleton 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,FERGUSON PLACE,FERGUSON PL,LH-STREET-XWALK-0170,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 1,LH-SRC-LARMAC-STREETS-2019,PDF page 3,documented_exact,FERN HAVEN FARM,FERN HAVEN FARM,LH-STREET-XWALK-0171,Wycliffe
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FERRENSBY WAY,FERRENSBY WAY,LH-STREET-XWALK-0172,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Potters Bend,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FIELDHOUSE,FIELDHOUSE,LH-STREET-XWALK-0173,Echo Ridge
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Aldenhouse,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FIRST ST,FIRST ST,LH-STREET-XWALK-0174,Township
12-30,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Gables 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FIRST ST (12-30),FIRST ST,LH-STREET-XWALK-0175,Township
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Hampton Road 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FLINTRIDGE AVENUE,FLINTRIDGE AVE,LH-STREET-XWALK-0176,Flintridge
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FLORA COURT,FLORA CT,LH-STREET-XWALK-0177,Avendale
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Potters Bend,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FLOWERDALE,FLOWERDALE,LH-STREET-XWALK-0178,Echo Ridge
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sedona 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FOLIATE WAY,FOLIATE WAY,LH-STREET-XWALK-0179,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FOREST STREET,FOREST ST,LH-STREET-XWALK-0180,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FOX HOLE ROAD,FOX HOLE RD,LH-STREET-XWALK-0181,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,CH Custom,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FRANCISCAN COURT,FRANCISCAN CT,LH-STREET-XWALK-0182,Covenant Hills
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FRANKLIN WAY,FRANKLIN WAY,LH-STREET-XWALK-0183,Flintridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Meriden 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,FRIAR LANE,FRIAR LN,LH-STREET-XWALK-0184,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Skye Isle 1 & 3,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GALAXY ISLE,GALAXY ISLE,LH-STREET-XWALK-0185,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sedona 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GALORA LANE,GALORA LN,LH-STREET-XWALK-0186,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Evergreen 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GARDENIA STREET,GARDENIA ST,LH-STREET-XWALK-0187,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chambray,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GARRISON LOOP,GARRISON LOOP,LH-STREET-XWALK-0188,Bridgepark
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Covenant Hills,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GAUCHO ROAD,GAUCHO RD,LH-STREET-XWALK-0189,Covenant Hills
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Berkshire,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GAZANIA WAY,GAZANIA WAY,LH-STREET-XWALK-0190,Avendale
10-20 even,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Berkshire,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GILLY FLOWER STREET (10-20 even),GILLY FLOWER ST,LH-STREET-XWALK-0191,Avendale
15-23 odd,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Charleston Place,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GILLY FLOWER STREET (15-23 odd),GILLY FLOWER ST,LH-STREET-XWALK-0192,Avendale
2-10 even,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Front Street,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GILLY FLOWER STREET (2-10 even),GILLY FLOWER ST,LH-STREET-XWALK-0193,Avendale
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Atherton Glen,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GLENALMOND LANE,GLENALMOND LN,LH-STREET-XWALK-0194,Echo Ridge
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GLOBE LANE,GLOBE LN,LH-STREET-XWALK-0195,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,St. Mays Road,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GLOXINIA STREET,GLOXINIA ST,LH-STREET-XWALK-0196,Avendale
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Walden Park 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GOOSE POND ROAD,GOOSE POND RD,LH-STREET-XWALK-0197,Terramor
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tether Moon 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GOSSAMER PLACE,GOSSAMER PL,LH-STREET-XWALK-0198,Avendale
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tarleton 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GOUGH PLACE,GOUGH PL,LH-STREET-XWALK-0199,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Aldenhouse,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GRANVILLE STREET,GRANVILLE ST,LH-STREET-XWALK-0200,Township
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Evergreen 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,GREVILLEA COURT,GREVILLEA CT,LH-STREET-XWALK-0201,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Trails,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HALF MOON TRAIL,HALF MOON TRL,LH-STREET-XWALK-0202,Oak Knoll
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tamarind 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HALLCREST DRIVE,HALLCREST DR,LH-STREET-XWALK-0203,Echo Ridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Bellataire 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HAMMOND ROAD,HAMMOND RD,LH-STREET-XWALK-0204,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Alisal,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HAMPSHIRE COURT,HAMPSHIRE CT,LH-STREET-XWALK-0205,Covenant Hills
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chesapeake 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HANCEFORD WAY,HANCEFORD WAY,LH-STREET-XWALK-0206,Wycliffe
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Lexington 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HANOVERIAN WAY,HANOVERIAN WAY,LH-STREET-XWALK-0207,Echo Ridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Meriden 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HARLEQUIN STREET,HARLEQUIN ST,LH-STREET-XWALK-0208,Covenant Hills
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sycamore Grove,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HARWICK COURT,HARWICK CT,LH-STREET-XWALK-0209,Oak Knoll
,S-2,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chimney Corners 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HEARTHSIDE ROAD,HEARTHSIDE RD,LH-STREET-XWALK-0210,Flintridge
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Skye Isle 1 & 3,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HEAVENLY ISLE,HEAVENLY ISLE,LH-STREET-XWALK-0211,Covenant Hills
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Prescott 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HEMPSTEAD STREET,HEMPSTEAD ST,LH-STREET-XWALK-0212,Oak Knoll
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Davenport,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HERRICK STREET,HERRICK ST,LH-STREET-XWALK-0213,Wycliffe
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Valmont,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HINTERLAND WAY,HINTERLAND WAY,LH-STREET-XWALK-0214,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HONEYTREE FARM,HONEYTREE FARM,LH-STREET-XWALK-0215,Wycliffe
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Briar Rose 1,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HOPKINS STREET,HOPKINS ST,LH-STREET-XWALK-0216,Terramor
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Branches,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HYACINTH LANE,HYACINTH LN,LH-STREET-XWALK-0217,Terramor
1-37 odd,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Branches,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HYDRANGEA STREET (1-37 odd),HYDRANGEA ST,LH-STREET-XWALK-0218,Avendale
2-36 even,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Astoria 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,HYDRANGEA STREET (2-36 even),HYDRANGEA ST,LH-STREET-XWALK-0219,Avendale
,,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sedona 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,ILLUMINATA LANE,ILLUMINATA LN,LH-STREET-XWALK-0220,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Savannah,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,IRISH MOSS ST,IRISH MOSS ST,LH-STREET-XWALK-0221,Avendale
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Trails,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,IRON HORSE TRAIL,IRON HORSE TRL,LH-STREET-XWALK-0222,Oak Knoll
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Surrey Farms 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,IVY GATE LANE,IVY GATE LN,LH-STREET-XWALK-0223,Wycliffe
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Encantada,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,JACKS STREET,JACKS ST,LH-STREET-XWALK-0224,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Montanez,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,JENNY LANE,JENNY LN,LH-STREET-XWALK-0225,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Sherborne 2,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,JEREMIAH LANE,JEREMIAH LN,LH-STREET-XWALK-0226,Covenant Hills
,SUB,high,Directory reflects 2019 naming and does not establish the historical opening date.,Chambray,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,JEROME LANE,JEROME LN,LH-STREET-XWALK-0227,Bridgepark
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Segovia,LH-SRC-LARMAC-STREETS-2019,PDF page 4,documented_exact,JOHN STREET,JOHN ST,LH-STREET-XWALK-0228,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Segovia,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,JULIA STREET,JULIA ST,LH-STREET-XWALK-0229,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Bellataire 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KANE LANE,KANE LN,LH-STREET-XWALK-0230,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Encantada,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KATHRYN LANE,KATHRYN LN,LH-STREET-XWALK-0231,Covenant Hills
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Segovia,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KATY ROSE LANE,KATY ROSE LN,LH-STREET-XWALK-0232,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Tarleton 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KAYLOCK COURT,KAYLOCK CT,LH-STREET-XWALK-0233,Terramor
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,Arborage 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KELFIELD DRIVE,KELFIELD DR,LH-STREET-XWALK-0234,Terramor
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Encantada,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KELLY LANE,KELLY LN,LH-STREET-XWALK-0235,Covenant Hills
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Amberly Lane 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KEMPTON LANE 1-26,KEMPTON LN 1 26,LH-STREET-XWALK-0236,Oak Knoll
,S-1,high,Directory reflects 2019 naming and does not establish the historical opening date.,Prescott 2,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KEMPTON LANE 32-58,KEMPTON LN 32 58,LH-STREET-XWALK-0237,Oak Knoll
,CH,high,Directory reflects 2019 naming and does not establish the historical opening date.,Alisal,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KENT COURT,KENT CT,LH-STREET-XWALK-0238,Covenant Hills
,FY&D,high,Directory reflects 2019 naming and does not establish the historical opening date.,The Gables 1,LH-SRC-LARMAC-STREETS-2019,PDF page 5,documented_exact,KEYSTONE DRIVE,KEYSTONE DR,LH-STREET-XWALK-0239,Township
